BF_replication,BF_uniform,BF_BUJ,True_prob,data_length_at_stop_BF
3.77E-30,1.78E-28,6.24E-29,0.537429689,30060
4.92E-10,6.26E-09,1.83E-09,0.519264139,30060
1.67E-16,2.36E-15,8.17E-16,0.529599127,30060
4.94E-35,7.38E-34,2.44E-34,0.537884597,30060
5.64E-48,5.63E-47,2.01E-47,0.541958389,30060
7.38E-11,1.22E-09,2.88E-10,0.51962882,30060
6.72E-57,2.78E-55,9.96E-56,0.540251306,30060
4.23E-29,2.05E-27,7.16E-28,0.534861301,30060
8.73E-28,3.52E-26,4.69E-27,0.530251418,30060
6.11E-07,5.40E-06,1.78E-06,0.520080678,30060
4.71E-12,1.02E-10,1.96E-11,0.519819566,30060
2.54E-14,4.64E-13,1.16E-13,0.521800421,30060
3.79E-21,5.79E-20,2.01E-20,0.532024412,30060
3.07E-09,3.14E-08,1.08E-08,0.526116886,30060
7.67E-28,3.13E-26,4.12E-27,0.531027062,30060
1.83E-55,6.20E-54,2.21E-54,0.545379466,30060
5.96E-43,8.46E-42,2.46E-42,0.542597525,30060
3.55E-10,4.73E-09,1.33E-09,0.521779307,30060
0.000379618,0.00272366,0.000797964,0.512455007,30060
6.65E-34,1.31E-32,3.34E-33,0.538911283,30060
3.33E-93,8.75E-93,3.21E-93,0.558522046,30060
2.47E-27,8.98E-26,1.33E-26,0.536471115,30060
2.77E-54,7.44E-53,2.64E-53,0.546140384,30060
2.75E-50,3.34E-49,9.08E-50,0.549129022,30060
4.28E-06,3.45E-05,1.15E-05,0.518953962,30060
0.000501253,0.003591379,0.001035194,0.514867483,30060
5.51E-50,6.35E-49,1.83E-49,0.540999948,30060
0.000585949,0.001273612,0.000655678,0.507003834,84528
6.27E-10,7.71E-09,2.31E-09,0.525421009,30060
6.00E-15,9.56E-14,2.80E-14,0.529877736,30060
8.43E-31,3.62E-29,1.27E-29,0.538758833,30060
2.44E-76,7.24E-76,2.65E-76,0.551260537,30060
1.03E-48,1.00E-47,3.57E-48,0.538689138,30060
7.18E-14,1.44E-12,3.23E-13,0.52217357,30060
1.27E-30,5.62E-29,1.98E-29,0.531757212,30060
2.90E-38,4.37E-37,1.34E-37,0.538758833,30060
1.65E-22,2.63E-21,8.87E-22,0.526998013,30060
1.30E-14,2.23E-13,6.00E-14,0.528187689,30060
1.44E-25,3.33E-24,7.81E-25,0.531761185,30060
3.19E-18,4.68E-17,1.62E-17,0.522654849,30060
6.47E-30,3.11E-28,1.09E-28,0.532752334,30060
3.17E-13,6.98E-12,1.39E-12,0.517881951,30060
7.38E-88,1.24E-87,4.39E-88,0.550788995,30060
1.05E-65,7.47E-65,1.88E-65,0.545386376,30060
6.24E-11,1.05E-09,2.44E-10,0.525790974,30060
4.13E-27,1.42E-25,2.23E-26,0.53519253,30060
3.25E-08,3.07E-07,1.06E-07,0.519950716,30060
1.78E-35,2.47E-34,8.69E-35,0.538202409,30060
8.75E-86,2.26E-85,5.82E-86,0.557736609,30060
6.42E-25,1.26E-23,3.47E-24,0.529801489,30060
0.013975515,0.035372615,0.013703169,0.506698844,76734
3.17E-24,5.27E-23,1.71E-23,0.531327719,30060
9.29E-32,3.23E-30,4.81E-31,0.537117805,30060
2.67E-57,1.13E-55,4.07E-56,0.549724364,30060
1.76E-60,6.17E-60,2.25E-60,0.544777245,30060
8.09E-57,3.32E-55,1.19E-55,0.546273675,30060
8.73E-28,3.52E-26,4.69E-27,0.530317485,30060
2.34E-45,2.57E-44,9.02E-45,0.547270761,30060
1.00E-16,1.40E-15,4.93E-16,0.530533036,30060
8.85E-20,1.33E-18,4.62E-19,0.528447786,30060
1.74E-32,5.00E-31,8.92E-32,0.535507828,30060
2.31E-65,1.79E-64,4.20E-65,0.545797258,30060
1.06E-41,1.64E-40,4.50E-41,0.54246768,30060
6.01E-17,8.31E-16,2.97E-16,0.524024017,30060
9.10E-73,3.22E-72,1.18E-72,0.552690904,30060
0.004655166,0.010967177,0.005145284,0.507789233,68958
4.94E-35,7.38E-34,2.44E-34,0.536956727,30060
0.002585654,0.007992862,0.003400852,0.510510264,53406
6.42E-25,1.26E-23,3.47E-24,0.534062233,30060
9.94E-63,1.57E-61,5.74E-62,0.54851661,30060
2.07E-06,1.74E-05,5.74E-06,0.515525498,30060
1.44E-25,3.33E-24,7.81E-25,0.529216583,30060
9.48E-12,1.96E-10,3.88E-11,0.528285654,30060
8.02E-15,1.32E-13,3.73E-14,0.524931371,30060
4.19E-69,1.77E-68,6.44E-69,0.551807032,30060
2.40E-37,3.43E-36,1.13E-36,0.53760945,30060
4.75E-60,1.79E-59,6.54E-60,0.538292418,30060
0.00030324,0.002173421,0.000646414,0.508766492,30060
3.07E-16,4.38E-15,1.49E-15,0.526581768,30060
1.14E-17,1.65E-16,5.72E-17,0.522292877,30060
3.45E-05,0.00024356,8.33E-05,0.506566815,30060
6.12E-32,2.03E-30,3.16E-31,0.530655526,30060
99.8407684,131.7640548,45.41213735,0.504076082,30060
1.93E-08,1.83E-07,6.40E-08,0.51996973,30060
5.21E-06,4.15E-05,1.38E-05,0.519415798,30060
6.07E-27,2.01E-25,3.28E-26,0.5318525,30060
1.07E-36,1.47E-35,5.13E-36,0.537896584,30060
1.02E-15,1.49E-14,4.89E-15,0.520022165,30060
2.03E-48,2.00E-47,7.13E-48,0.546627784,30060
1.12E-40,1.80E-39,4.91E-40,0.538192514,30060
7.38E-17,1.03E-15,3.64E-16,0.525074464,30060
6.00E-15,9.56E-14,2.80E-14,0.522252167,30060
2.78E-23,4.72E-22,1.50E-22,0.534134736,30060
