"iterations","H0_prob","True_prob","alternative_hip_side","p_threshold_to_try","SESOI","robustness_test_with","Inference_threshold_BF_high","prior_distribution","y_and_N_prior_to_try","min_trial_n","max_trial_n","times_to_stop","Inference_threshold_robustness","Supported_H1_BF","Supported_H0_BF","Inconclusive_BF","Mode_num_trials_true_BF","Stopped_at_min_trial_n_BF","Stopped_at_max_trial_n_BF","Robust","Robust_direct_opposit","Supported_H1_NHST","Supported_H0_NHST","Inconclusive_NHST","Mode_num_trials_true_NHST","Stopped_at_min_trial_n_NHST","Stopped_at_max_trial_n_NHST"
50000,0.5,0.45,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0,1,0,26000,1,0,1,0,NA,NA,NA,NA,0,0
50000,0.5,0.48,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0,1,0,26000,1,0,1,0,NA,NA,NA,NA,0,0
50000,0.5,0.49,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0,1,0,26000,0.99998,0,1,0,NA,NA,NA,NA,0,0
50000,0.5,0.495,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0,0.99998,2e-05,26000,0.98714,0.00014,0.99998,0,NA,NA,NA,NA,0,0
50000,0.5,0.498,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0,0.9955,0.0045,26000,0.8973,0.01006,0.99552,0,NA,NA,NA,NA,0,0
50000,0.5,0.499,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,6e-05,0.98292,0.01702,26000,0.82834,0.02974,0.98338,0,NA,NA,NA,NA,0,0
50000,0.5,0.5,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.00044,0.94216,0.0574,26000,0.73508,0.08056,0.94584,0,NA,NA,NA,NA,0,0
50000,0.5,0.501,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.00176,0.85984,0.1384,26000,0.62186,0.17048,0.87618,0,NA,NA,NA,NA,0,0
50000,0.5,0.502,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.00664,0.7224,0.27096,26000,0.494,0.30484,0.77172,0,NA,NA,NA,NA,0,0
50000,0.5,0.503,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.02394,0.54648,0.42958,80000,0.36936,0.46162,0.65912,0,NA,NA,NA,NA,0,0
50000,0.5,0.504,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.07354,0.37068,0.55578,80000,0.26514,0.59418,0.5882,0,NA,NA,NA,NA,0,0
50000,0.5,0.505,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.17726,0.22118,0.60156,80000,0.18342,0.6714,0.56678,0,NA,NA,NA,NA,0,0
50000,0.5,0.506,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.34804,0.1234,0.52856,80000,0.14622,0.64648,0.61392,0,NA,NA,NA,NA,0,0
50000,0.5,0.507,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.56404,0.06206,0.3739,80000,0.1479,0.5341,0.7151,0,NA,NA,NA,NA,0,0
50000,0.5,0.508,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.76262,0.02948,0.2079,80000,0.18784,0.37292,0.8332,0,NA,NA,NA,NA,0,0
50000,0.5,0.509,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.89564,0.01214,0.09222,44000,0.26564,0.21934,0.9213,0,NA,NA,NA,NA,0,0
50000,0.5,0.51,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.96452,0.00434,0.03114,26000,0.36836,0.1085,0.97238,0,NA,NA,NA,NA,0,0
50000,0.5,0.511,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.99074,0.00144,0.00782,26000,0.49742,0.0413,0.99274,0,NA,NA,NA,NA,0,0
50000,0.5,0.512,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,0.99796,7e-04,0.00134,26000,0.61738,0.01284,0.99876,0,NA,NA,NA,NA,0,0
50000,0.5,0.515,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,1,0,0,26000,0.897,0.00014,1,0,NA,NA,NA,NA,0,0
50000,0.5,0.52,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,1,0,0,26000,0.9977,0,1,0,NA,NA,NA,NA,0,0
50000,0.5,0.53,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,1,0,0,26000,1,0,1,0,NA,NA,NA,NA,0,0
50000,0.5,0.56,"greater",0.001,0.01,"NHST_probtest",45,"beta","828, 1560",26000,80000,5,0.005,1,0,0,26000,1,0,1,0,NA,NA,NA,NA,0,0
